SF;Kursart;Kursart_Neu;Kursart_Alt
V;95;KMFÖ;KOMM
R;95;KMFÖ;KOMM
GY;95;KMFÖ;KOMM
H;95;KMFÖ;KOMM
SB;99;PUK;PU
R;96;EGS1;KMFÖ
SR;96;EGS1;KMFÖ
GY;96;EGS1;KMFÖ
SG;96;EGS1;KMFÖ
H;96;EGS1;KMFÖ
GE;96;EGS1;KMFÖ
V;96;EGS1;KMFÖ
